Id,IdCatalog,GroupCode,Code,Description,IsActive,Name,Version
1,,PAIS,3,,1,Afganistán,0
2,,PAIS,4,,1,Albania,0
3,,PAIS,5,,1,Alemania,0
4,,PAIS,6,,1,Andorra,0
5,,PAIS,7,,1,Angola,0
6,,PAIS,,,1,Anguila,0
7,,PAIS,,,1,Antártida,0
8,,PAIS,8,,1,Antigua Y Barbuda,0
9,,PAIS,9,,1,Antillas Holandesas,0
10,,PAIS,10,,1,Arabia Saudí,0
11,,PAIS,,,1,Arabia Saudita,0
12,,PAIS,11,,1,Argelia,0
13,,PAIS,12,,1,Argentina,0
14,,PAIS,13,,1,Armenia,0
15,,PAIS,14,,1,Aruba,0
16,,PAIS,15,,1,Australia,0
17,,PAIS,16,,1,Austria,0
18,,PAIS,17,,1,Azerbaiyán,0
19,,PAIS,18,,1,Bahamas,0
20,,PAIS,19,,1,Bahrein,0
21,,PAIS,20,,1,Bangladesh,0
22,,PAIS,21,,1,Barbados,0
23,,PAIS,22,,1,Bélgica,0
24,,PAIS,23,,1,Belice,0
25,,PAIS,,,1,Benin,0
26,,PAIS,24,,1,Benín,0
27,,PAIS,25,,1,Bermudas,0
28,,PAIS,26,,1,Bielorrusia,0
29,,PAIS,27,,1,Bolivia,0
30,,PAIS,,,1,"Bonaire, San Eustaquio Y Saba",0
31,,PAIS,28,,1,Bosnia,0
32,,PAIS,,,1,Bosnia Y Herzegovina,0
33,,PAIS,29,,1,Botswana,0
34,,PAIS,30,,1,Brasil,0
35,,PAIS,31,,1,Brunei,0
36,,PAIS,,,1,Brunei Darussalam,0
37,,PAIS,32,,1,Bulgaria,0
38,,PAIS,33,,1,Burkina Faso,0
39,,PAIS,34,,1,Burundi,0
40,,PAIS,35,,1,Bután,0
41,,PAIS,36,,1,Cabo Verde,0
42,,PAIS,37,,1,Camboya,0
43,,PAIS,38,,1,Camerún,0
44,,PAIS,,,1,Canada,0
45,,PAIS,39,,1,Canadá,0
46,,PAIS,45,,1,Colombia,0
47,,PAIS,46,,1,Comoras,0
48,,PAIS,47,,1,Congo,0
49,,PAIS,48,,1,Corea Del Norte,0
50,,PAIS,49,,1,Corea Del Sur,0
51,,PAIS,50,,1,Costa De Marfil,0
52,,PAIS,51,,1,Costa Rica,0
53,,PAIS,52,,1,Croacia,0
54,,PAIS,53,,1,Cuba,0
55,,PAIS,,,1,Curaçao,0
56,,PAIS,54,,1,Curazao,0
57,,PAIS,40,,1,Chad,0
58,,PAIS,41,,1,Chequia,0
59,,PAIS,42,,1,Chile,0
60,,PAIS,43,,1,China,0
61,,PAIS,44,,1,Chipre,0
62,,PAIS,55,,1,Dinamarca,0
